round,cosine_drift
0,0.30996850240806634
1,0.24707031897305917
2,0.33079439480496486
3,0.38342657080451514
4,0.39447819146033447
5,0.4158889129904047
6,0.5039366379039569
7,0.4551030010791567
8,0.491078426123367
9,0.5347945942073367
10,0.5465120033164104
11,0.5119793259036041
12,0.5602396350019415
13,0.46781981337209827
14,0.5769746190915188
15,0.48560405830935205
16,0.47144382145872826
17,0.5210050253939791
18,0.528851012981682
19,0.5306176907260343
20,0.5215591142793697
21,0.5299905185302942
22,0.5408326125195788
23,0.6569648884150605
24,0.5494272675686327
25,0.5130042791719761
26,0.5113521367526253
27,0.5002062194231022
28,0.5476219665054639
29,0.5421529076642965
30,0.6292851458127224
31,0.55283585497423
32,0.595640062001358
33,0.5248119067854853
34,0.6733309440993396
35,0.4856309995819437
36,0.6201796285178978
37,0.5672230624802267
38,0.513950652508237
39,0.5638856558055287
40,0.5551824585130103
41,0.6199999636748863
42,0.5465739285940643
43,0.5156334902744123
44,0.6087840689746585
45,0.5028932403491029
46,0.7242918713750992
47,0.4765704140552132
48,0.6547045742391672
49,0.5747310860262157
50,0.5551237852442048
51,0.6003098293692057
52,0.6019484660315897
53,0.49208260556282407
54,0.624448675042864
55,0.5917084190224745
56,0.5136996188418432
57,0.5699392470381309
58,0.5100418667776903
59,0.6689425963685754
60,0.4689924887128277
61,0.598128614688352
62,0.5748656159073309
63,0.5337262725151869
64,0.6817829979217983
65,0.5177665353513401
66,0.5943233531247186
67,0.580262550765206
68,0.6159123843521239
69,0.6134338752882024
70,0.550159679971489
71,0.602600519830959
72,0.5522598405815886
73,0.6372447059285713
74,0.5675787675561833
75,0.6507848365521771
76,0.60874936692621
77,0.676589914800376
78,0.6181710953117443
79,0.6480890280283466
80,0.6528548050841696
81,0.6607091207338086
82,0.6879054433834149
83,0.6629158928056692
84,0.6806209280504645
85,0.7013049855200071
86,0.7325019262408615
87,0.7259110071337154
88,0.7495617540115833
89,0.7503113208509617
90,0.7643912421111294
91,0.802748164879371
92,0.8077386383810075
93,0.8007763129357232
94,0.8054969229331204
95,0.8212715665736614
96,0.8207146180843234
97,0.8293566032473034
98,0.8411585619913933
99,0.8541020033006845
