round,cosine_drift
0,0.399616622
1,0.217811107
2,0.220151394
3,0.222837311
4,0.259522196
5,0.308405871
6,0.378417223
7,0.507804466
8,0.500456916
9,0.489484834
10,0.482722598
11,0.45629707
12,0.47281406
13,0.494533827
14,0.494596087
15,0.522520492
16,0.484885876
17,0.542661115
18,0.441763843
19,0.505739334
20,0.530943137
21,0.595456599
22,0.583408755
23,0.529174184
24,0.528994429
25,0.577084195
26,0.617647879
27,0.614969887
28,0.57207847
29,0.57832582
30,0.55483832
31,0.53913018
32,0.601230313
33,0.611028285
34,0.588605273
35,0.562191999
36,0.514802057
37,0.479117652
38,0.510422047
39,0.535556758
40,0.556418268
41,0.559188388
42,0.531794668
43,0.481101039
44,0.495484812
45,0.527669313
46,0.584125209
47,0.601237854
48,0.62033411
49,0.582730539
50,0.589326234
51,0.636341955
52,0.568919898
53,0.580804924
54,0.623802519
55,0.619328201
56,0.660457969
57,0.670614839
58,0.619983987
59,0.60117467
60,0.563012671
61,0.570749009
62,0.597105412
63,0.609367609
64,0.626403188
65,0.628296335
66,0.626829128
67,0.602901253
68,0.607197404
69,0.605202397
70,0.591630359
71,0.599286602
72,0.612274128
73,0.612425705
74,0.573465866
75,0.570594478
76,0.597798366
77,0.606565041
78,0.607261231
79,0.609641476
80,0.608044505
81,0.590914333
82,0.597109996
83,0.608766962
84,0.604780645
85,0.602281886
86,0.600904897
87,0.599539978
88,0.596131225
89,0.598918203
90,0.617514699
91,0.619590633
92,0.613432514
93,0.609497742
94,0.601493794
95,0.586934255
96,0.574226524
97,0.562353585
98,0.55466285
99,0.544447571
,
