round,f_00000,f_00001,f_00002,f_00003,f_00004,f_00005,f_00006,f_00007,f_00008,f_00009
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.4276997447013855,0.44600385427474976,0.3962659537792206,0.44343632459640503,0.44268879294395447,0.40524449944496155,0.3811171054840088,0.4228617548942566,0.4177711308002472,0.4441649913787842
2,0.4266780614852905,0.4033275246620178,0.3916567265987396,0.42570531368255615,0.39843201637268066,0.4067184329032898,0.3770495653152466,0.4142693877220154,0.38743388652801514,0.42254960536956787
3,0.4303075969219208,0.4008488059043884,0.4272518754005432,0.39846980571746826,0.4357846975326538,0.4064544141292572,0.38771799206733704,0.4157125651836395,0.41642555594444275,0.4232763350009918
4,0.4153483808040619,0.38412559032440186,0.41163501143455505,0.39570945501327515,0.4345826804637909,0.3762304186820984,0.4135993421077728,0.40645158290863037,0.4404001832008362,0.4328446090221405
5,0.38983508944511414,0.3914068341255188,0.40397921204566956,0.39339420199394226,0.4216625392436981,0.3938427269458771,0.42355877161026,0.41110190749168396,0.4141177833080292,0.41735464334487915
6,0.38113877177238464,0.42785459756851196,0.3971925973892212,0.3947749435901642,0.42674389481544495,0.4035952091217041,0.4037969708442688,0.40248343348503113,0.4070641100406647,0.39875543117523193
7,0.3834097683429718,0.388272762298584,0.3880020081996918,0.39865341782569885,0.37803858518600464,0.4213121235370636,0.3669340908527374,0.3946964740753174,0.39977210760116577,0.38277044892311096
8,0.41786396503448486,0.3471311330795288,0.3989883065223694,0.39932727813720703,0.4012177884578705,0.40804311633110046,0.3830881416797638,0.3847940266132355,0.4339819550514221,0.3832719027996063
9,0.4189103841781616,0.3708547055721283,0.40421897172927856,0.41492119431495667,0.39107751846313477,0.3709556758403778,0.413667231798172,0.40561002492904663,0.4239795207977295,0.41933292150497437
10,0.36981090903282166,0.36734119057655334,0.40176451206207275,0.39969754219055176,0.3914485275745392,0.3849768042564392,0.37732982635498047,0.38254237174987793,0.3639945983886719,0.4137369692325592
11,0.3716500997543335,0.42235952615737915,0.40139713883399963,0.40157440304756165,0.39804694056510925,0.4203721880912781,0.36336058378219604,0.3974624574184418,0.3588589131832123,0.4160819351673126
12,0.3822784721851349,0.38985833525657654,0.3899247944355011,0.37778860330581665,0.39390870928764343,0.3862745463848114,0.3628551959991455,0.3821002244949341,0.3831503391265869,0.40560591220855713
13,0.3853883743286133,0.3465721309185028,0.3723468780517578,0.3634794056415558,0.4116867482662201,0.38718661665916443,0.38766172528266907,0.3774747848510742,0.4066304564476013,0.38573744893074036
14,0.39904698729515076,0.34992924332618713,0.3641044795513153,0.3707401156425476,0.3964391350746155,0.37638235092163086,0.39545610547065735,0.36263519525527954,0.43019065260887146,0.3683691620826721
15,0.3851305842399597,0.3981840908527374,0.3865807056427002,0.37339210510253906,0.3988998830318451,0.3819144666194916,0.37290096282958984,0.3514884114265442,0.43033793568611145,0.41191452741622925
16,0.37667179107666016,0.41230881214141846,0.40702930092811584,0.3729957342147827,0.3697962760925293,0.373827189207077,0.348444402217865,0.3674066662788391,0.37595638632774353,0.4313304126262665
17,0.39706429839134216,0.3735957145690918,0.41043081879615784,0.4062764346599579,0.3717726469039917,0.3821333646774292,0.3933998942375183,0.38250666856765747,0.36145222187042236,0.41084060072898865
18,0.3758178949356079,0.3545028865337372,0.41672205924987793,0.41820383071899414,0.40593862533569336,0.3776036500930786,0.39733943343162537,0.3828810453414917,0.38123854994773865,0.4043469727039337
19,0.35685545206069946,0.351203978061676,0.3705783784389496,0.39322832226753235,0.37277719378471375,0.3649483025074005,0.36229854822158813,0.3796656131744385,0.4104560315608978,0.40254250168800354
20,0.35755670070648193,0.37741294503211975,0.34905508160591125,0.37153974175453186,0.3531130850315094,0.39433637261390686,0.3621932566165924,0.39597442746162415,0.39874422550201416,0.39373162388801575
21,0.39267757534980774,0.3853679895401001,0.3774166405200958,0.3897860646247864,0.37241387367248535,0.43326154351234436,0.385120689868927,0.4052647650241852,0.40571272373199463,0.41090911626815796
22,0.42359739542007446,0.37542858719825745,0.3913521468639374,0.37442466616630554,0.3821422755718231,0.37896114587783813,0.37770137190818787,0.3535921275615692,0.4010089337825775,0.41182515025138855
23,0.4246324896812439,0.36497923731803894,0.39116883277893066,0.3895238935947418,0.4180685579776764,0.3970031142234802,0.3860749304294586,0.36910322308540344,0.3801027536392212,0.4054815471172333
24,0.38936904072761536,0.3771092891693115,0.39823946356773376,0.3822164237499237,0.4118748903274536,0.3768981993198395,0.3830799162387848,0.38799816370010376,0.3561877906322479,0.3833795487880707
25,0.343749463558197,0.38502269983291626,0.3602835237979889,0.39506492018699646,0.4042498767375946,0.3548656702041626,0.38138553500175476,0.38018184900283813,0.38318803906440735,0.3918878734111786
26,0.3498026728630066,0.3678983151912689,0.3625008165836334,0.3778417408466339,0.415663480758667,0.3779516816139221,0.37856459617614746,0.37887704372406006,0.435626745223999,0.37150588631629944
27,0.36423760652542114,0.36413854360580444,0.3562309741973877,0.369347482919693,0.38632550835609436,0.37476107478141785,0.3851895332336426,0.36338356137275696,0.40980300307273865,0.3809109926223755
28,0.38857725262641907,0.3608318567276001,0.39491406083106995,0.3735116422176361,0.3685137629508972,0.3683984577655792,0.3428974449634552,0.35310858488082886,0.3823648989200592,0.3848801553249359
29,0.4057987332344055,0.3594925105571747,0.41523581743240356,0.36881184577941895,0.3667217791080475,0.3781678378582001,0.37435707449913025,0.3726394772529602,0.368369460105896,0.37688273191452026
30,0.3862972557544708,0.3509935140609741,0.418804407119751,0.34118416905403137,0.3901559114456177,0.371025025844574,0.38604721426963806,0.3279343843460083,0.3608807623386383,0.3630205988883972
31,0.3869699239730835,0.34955188632011414,0.42174023389816284,0.3701297640800476,0.37997981905937195,0.39219433069229126,0.37110504508018494,0.35267114639282227,0.3933678865432739,0.37834668159484863
32,0.3587915003299713,0.35771092772483826,0.3780738413333893,0.368526428937912,0.3771642744541168,0.3679267466068268,0.38136568665504456,0.3968088626861572,0.39565038681030273,0.3961944282054901
33,0.3437718152999878,0.3581274747848511,0.3525250554084778,0.38138243556022644,0.3556584417819977,0.3740866184234619,0.36548933386802673,0.39157354831695557,0.3604933023452759,0.384939044713974
