round,cosine_drift
0,0.377948764
1,0.202666647
2,0.148342002
3,0.163476179
4,0.180489121
5,0.22501164
6,0.242509972
7,0.209833248
8,0.261518772
9,0.369499559
10,0.428895692
11,0.399401573
12,0.263096643
13,0.261184817
14,0.322860366
15,0.427886015
16,0.426327307
17,0.418072724
18,0.402516621
19,0.380126006
20,0.399360155
21,0.37543791
22,0.445385722
23,0.422516534
24,0.421524789
25,0.395103642
26,0.442531554
27,0.491847336
28,0.410836238
29,0.429394304
30,0.471565632
31,0.45983254
32,0.473452525
33,0.458621024
34,0.499606254
35,0.451026917
36,0.450155126
37,0.46460301
38,0.492230769
39,0.445747912
40,0.509253889
41,0.481311649
42,0.46460261
43,0.415110644
44,0.441017794
45,0.488664271
46,0.439660128
47,0.458683778
48,0.515943291
49,0.481771439
50,0.473248969
51,0.460150387
52,0.430372627
53,0.528591066
54,0.492084857
55,0.456325562
56,0.448792196
57,0.452461148
58,0.46393548
59,0.455226216
60,0.436154381
61,0.485871837
62,0.439977319
63,0.455770178
64,0.510044038
65,0.511199184
66,0.469805651
67,0.472271385
68,0.504938652
69,0.542085717
70,0.516222233
71,0.534941592
72,0.457515669
73,0.4646879
74,0.49258905
75,0.496915433
76,0.481955026
77,0.452491767
78,0.479681145
79,0.499061865
80,0.509375782
81,0.538560535
82,0.552839503
83,0.53871419
84,0.531245719
85,0.49794138
86,0.481654023
87,0.484424249
88,0.45123218
89,0.500741691
90,0.522001022
91,0.547572827
92,0.551032354
93,0.557043137
94,0.551450877
95,0.553220008
96,0.530017057
97,0.543458727
98,0.549183643
99,0.54206858
